Date,Open,High,Low,Close,Adj Close,Volume
2020-07-31,0.334140,0.351718,0.315884,0.325342,0.325342,75002381
2020-08-01,0.325342,0.333831,0.319960,0.326553,0.326553,58184980
2020-08-02,0.326107,0.334075,0.285208,0.301198,0.301198,57456906
2020-08-03,0.301198,0.321355,0.298709,0.309632,0.309632,35563711
2020-08-04,0.309632,0.330702,0.309604,0.326361,0.326361,36437559
2020-08-05,0.326469,0.345461,0.322232,0.336210,0.336210,59452182
2020-08-06,0.336021,0.373365,0.334821,0.363978,0.363978,80849804
2020-08-07,0.363983,0.379649,0.342284,0.369858,0.369858,65591141
2020-08-08,0.369950,0.458999,0.369525,0.451361,0.451361,128587701
2020-08-09,0.451324,0.470647,0.414254,0.425507,0.425507,119127687
2020-08-10,0.425507,0.486242,0.410100,0.468510,0.468510,130243509
2020-08-11,0.468712,0.487547,0.400143,0.437420,0.437420,128248142
2020-08-12,null,null,null,null,null,null
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.636936,0.663390,0.618441,0.629417,0.629417,167466878
2020-08-17,0.629417,0.691033,0.583213,0.585884,0.585884,191812541
2020-08-18,0.585921,0.605851,0.527634,0.558149,0.558149,181855579
2020-08-19,0.557935,0.622734,0.516129,0.597796,0.597796,276243241
2020-08-20,0.597796,0.664702,0.595653,0.627823,0.627823,220969281
2020-08-21,0.627032,0.632370,0.528367,0.532032,0.532032,207671088
2020-08-22,0.533122,0.586558,0.514457,0.568174,0.568174,168290282
2020-08-23,0.565056,0.636628,0.547095,0.613549,0.613549,174829794
2020-08-24,0.613256,0.662643,0.596653,0.633204,0.633204,175121216
2020-08-25,0.631639,0.636900,0.535217,0.563522,0.563522,229197386
2020-08-26,0.563175,0.587166,0.533174,0.551138,0.551138,193190502
2020-08-27,0.551144,0.558287,0.495265,0.521386,0.521386,195555976
2020-08-28,0.521266,0.560487,0.514593,0.535218,0.535218,165850062
2020-08-29,0.534215,0.548423,0.525120,0.536670,0.536670,126976934
2020-08-30,0.535316,0.549608,0.513259,0.518702,0.518702,133607019
