Date,Open,High,Low,Close,Adj Close,Volume
2020-07-31,3.050099,3.128145,3.012961,3.091720,3.091720,1924546686
2020-08-01,3.091720,3.300097,3.072474,3.292289,3.292289,2513497240
2020-08-02,3.295194,3.466750,2.764398,2.939990,2.939990,3543069424
2020-08-03,2.940350,3.118447,2.924566,3.047613,3.047613,1957244385
2020-08-04,3.047556,3.093157,2.980918,3.034345,3.034345,1917603813
2020-08-05,3.035816,3.099763,3.015314,3.059179,3.059179,1776068900
2020-08-06,3.059365,3.163998,3.012701,3.092202,3.092202,2103644595
2020-08-07,3.090597,3.239456,2.883355,3.015313,3.015313,2948024705
2020-08-08,3.015837,3.089820,2.988531,3.053528,3.053528,1658324422
2020-08-09,3.061801,3.086282,2.979908,3.033215,3.033215,1605604936
2020-08-10,3.031642,3.279871,3.031642,3.238407,3.238407,2882321248
2020-08-11,3.237055,3.290149,2.930713,3.022567,3.022567,2986817654
2020-08-12,3.023676,3.087784,2.917175,3.060108,3.060108,2355373645
2020-08-13,3.062645,3.185285,2.943832,3.181062,3.181062,2530322368
2020-08-14,3.179511,3.300208,3.127293,3.254887,3.254887,2929453441
2020-08-15,3.253850,3.831907,3.253850,3.734397,3.734397,5115996830
2020-08-16,3.731483,3.916790,3.564616,3.878821,3.878821,4778869235
2020-08-17,3.878821,3.908056,3.756939,3.771222,3.771222,3771695207
2020-08-18,3.765226,3.807964,3.572375,3.588738,3.588738,2998442461
2020-08-19,3.588738,3.626157,3.253828,3.346974,3.346974,3371693790
2020-08-20,3.348771,3.451040,3.345937,3.440469,3.440469,2367650770
2020-08-21,3.440775,3.613694,3.260387,3.265769,3.265769,3522494003
2020-08-22,3.260808,3.374023,3.196626,3.369212,3.369212,2362958020
2020-08-23,3.364008,3.375077,3.247845,3.325361,3.325361,1814438208
2020-08-24,3.325455,3.412652,3.302757,3.390611,3.390611,1971274605
2020-08-25,3.391248,3.394440,3.053719,3.138529,3.138529,2496895800
2020-08-26,3.134464,3.163622,3.071530,3.125430,3.125430,1929872365
2020-08-27,3.124123,3.150509,2.897628,2.978848,2.978848,2212925741
2020-08-28,2.979904,3.166459,2.954307,3.120462,3.120462,1997932349
2020-08-29,3.119161,3.202042,3.092409,3.137996,3.137996,1655796056
2020-08-30,3.137882,3.272727,3.137882,3.266469,3.266469,1877220419
2020-08-31,3.266389,3.295203,3.205168,3.225689,3.225689,1818966406
2020-09-01,3.224547,3.534964,3.187092,3.478840,3.478840,2683850445
2020-09-02,3.479386,3.495066,3.013684,3.100930,3.100930,3355126447
2020-09-03,3.099886,3.152084,2.607636,2.643032,2.643032,3101892961
2020-09-04,2.642196,3.208408,2.626131,3.014346,3.014346,5253038602
2020-09-05,3.012970,3.154514,2.823931,2.933592,2.933592,5652060836
2020-09-06,2.933592,3.013734,2.835169,2.912100,2.912100,3139720799
2020-09-07,2.910651,2.941975,2.691808,2.853522,2.853522,3096956227
2020-09-08,2.851860,2.859575,2.696514,2.758445,2.758445,2652161786
2020-09-09,2.757841,2.810180,2.705003,2.758105,2.758105,1910271632
2020-09-10,2.758546,2.840060,2.755923,2.782290,2.782290,2215922130
2020-09-11,2.782290,2.823544,2.722572,2.788837,2.788837,1952044646
2020-09-12,2.788841,2.827892,2.766519,2.809240,2.809240,1684800439
2020-09-13,2.809240,2.827912,2.680304,2.719655,2.719655,1956722067
2020-09-14,2.717719,2.781710,2.696142,2.738452,2.738452,1977781254
2020-09-15,2.737986,2.783873,2.707621,2.710616,2.710616,1860615702
2020-09-16,2.709218,2.751770,2.618382,2.719748,2.719748,2198598029
2020-09-17,2.717251,2.766679,2.703763,2.732446,2.732446,1859195680
2020-09-18,2.732446,2.751410,2.667396,2.696533,2.696533,1610862383
2020-09-19,2.692161,2.734121,2.686387,2.707757,2.707757,1504818954
2020-09-20,2.710119,2.710119,2.640710,2.673340,2.673340,1494188483
2020-09-21,2.675618,2.688279,2.511975,2.514810,2.514810,1987577753
2020-09-22,2.514957,2.585836,2.506480,2.573652,2.573652,1601210582
2020-09-23,2.577304,2.590193,2.409233,2.441541,2.441541,1380074100
2020-09-24,2.441631,2.544688,2.433915,2.538016,2.538016,1546078910
2020-09-25,2.539603,2.563692,2.475626,2.547686,2.547686,1685425911
2020-09-26,2.549158,2.599093,2.523694,2.574862,2.574862,1491540424
2020-09-27,2.574814,2.595780,2.539478,2.588454,2.588454,1436606329
2020-09-28,2.588454,2.627824,2.569204,2.570990,2.570990,1675478586
2020-09-29,2.569975,2.605563,2.565579,2.603044,2.603044,1395943907
2020-09-30,2.601093,2.603265,2.565761,2.582131,2.582131,1376948548
2020-10-01,2.581501,2.621571,2.512828,2.546285,2.546285,1578334758
2020-10-02,2.544451,2.553110,2.443582,2.484756,2.484756,1620076251
2020-10-03,2.484843,2.510649,2.478038,2.488539,2.488539,1139162512
2020-10-04,2.488539,2.537885,2.476297,2.525159,2.525159,1430002805
2020-10-05,2.525159,2.539684,2.503397,2.532711,2.532711,1295968321
2020-10-06,2.531569,2.928654,2.499448,2.694270,2.694270,4509434165
2020-10-07,2.694270,2.711469,2.622191,2.650193,2.650193,2509635112
2020-10-08,2.650705,2.654160,2.550491,2.615359,2.615359,2109857244
2020-10-09,null,null,null,null,null,null
2020-10-10,2.644018,2.715431,2.643527,2.650857,2.650857,2228390630
2020-10-11,2.649913,2.691757,2.638562,2.665028,2.665028,1939650803
2020-10-12,null,null,null,null,null,null
2020-10-13,null,null,null,null,null,null
2020-10-14,2.647984,2.657508,2.597586,2.614070,2.614070,1826338183
2020-10-15,2.612696,2.633780,2.592168,2.597294,2.597294,1667201179
2020-10-16,2.600487,2.618453,2.512297,2.543399,2.543399,2184245041
2020-10-17,2.546382,2.554769,2.511992,2.535012,2.535012,1735782880
2020-10-18,2.533992,2.557564,2.528637,2.556328,2.556328,1564431085
2020-10-19,2.557351,2.617661,2.529671,2.590166,2.590166,1633896016
2020-10-20,2.591028,2.592532,2.512249,2.538812,2.538812,1584176156
2020-10-21,2.537705,2.659359,2.531675,2.622882,2.622882,2254602641
2020-10-22,2.619927,2.707401,2.618552,2.675139,2.675139,2427725404
2020-10-23,2.677468,2.685097,2.604885,2.642483,2.642483,2011457715
2020-10-24,2.642483,2.668004,2.616532,2.650240,2.650240,1875278671
2020-10-25,2.650239,2.727119,2.614223,2.694367,2.694367,2188265619
2020-10-26,2.694367,2.739113,2.599064,2.628513,2.628513,2505786846
