Date,Open,High,Low,Close,Adj Close,Volume
2020-07-31,0.020419,0.020713,0.020117,0.020258,0.020258,11758447
2020-08-01,0.020258,0.021324,0.020145,0.020990,0.020990,16202702
2020-08-02,0.021008,0.021338,0.019884,0.020001,0.020001,14829361
2020-08-03,0.020001,0.020829,0.019902,0.020459,0.020459,11728783
2020-08-04,0.020458,0.020893,0.020398,0.020646,0.020646,10284067
2020-08-05,0.020650,0.021934,0.020544,0.021380,0.021380,19397104
2020-08-06,0.021350,0.022300,0.021239,0.021770,0.021770,17258892
2020-08-07,0.021767,0.022294,0.020683,0.021398,0.021398,13272237
2020-08-08,0.021376,0.022957,0.021310,0.022847,0.022847,19222402
2020-08-09,0.022871,0.023784,0.022379,0.022779,0.022779,22917218
2020-08-10,0.022779,0.024397,0.021989,0.024364,0.024364,31068048
2020-08-11,0.024379,0.026220,0.022079,0.023074,0.023074,43046296
2020-08-12,null,null,null,null,null,null
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.030129,0.030960,0.028518,0.030161,0.030161,35043467
2020-08-17,0.030161,0.032038,0.027947,0.028792,0.028792,46826970
2020-08-18,0.028710,0.029591,0.025925,0.026971,0.026971,32349179
2020-08-19,0.026933,0.027421,0.024023,0.024896,0.024896,32078356
2020-08-20,0.024896,0.026912,0.024730,0.026709,0.026709,22345286
2020-08-21,0.026680,0.028852,0.024928,0.024932,0.024932,29176851
2020-08-22,0.024981,0.026442,0.023936,0.026151,0.026151,19378252
2020-08-23,0.026155,0.026158,0.024883,0.025308,0.025308,10582360
2020-08-24,0.025349,0.028325,0.025057,0.027981,0.027981,26471891
2020-08-25,0.027941,0.028160,0.025106,0.025861,0.025861,20888554
2020-08-26,0.025798,0.027415,0.025593,0.026905,0.026905,21312801
2020-08-27,0.026919,0.027624,0.025110,0.025737,0.025737,18159895
2020-08-28,0.025766,0.027166,0.025474,0.026855,0.026855,12390940
2020-08-29,0.026862,0.028569,0.026590,0.027683,0.027683,18994756
2020-08-30,0.027642,0.028664,0.027125,0.027178,0.027178,16727280
2020-08-31,0.027158,0.027505,0.026355,0.026573,0.026573,14765321
2020-09-01,0.026567,0.026931,0.025599,0.025613,0.025613,19731737
2020-09-02,0.025626,0.026013,0.022015,0.023510,0.023510,23428036
2020-09-03,0.023507,0.023714,0.018860,0.019393,0.019393,19269778
2020-09-04,0.019451,0.020041,0.017870,0.019457,0.019457,20856523
2020-09-05,null,null,null,null,null,null
2020-09-06,null,null,null,null,null,null
2020-09-07,null,null,null,null,null,null
2020-09-08,null,null,null,null,null,null
2020-09-09,null,null,null,null,null,null
2020-09-10,null,null,null,null,null,null
2020-09-11,null,null,null,null,null,null
2020-09-12,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null
2020-09-17,null,null,null,null,null,null
2020-09-18,null,null,null,null,null,null
2020-09-19,null,null,null,null,null,null
2020-09-20,null,null,null,null,null,null
2020-09-21,null,null,null,null,null,null
2020-09-22,0.018915,0.019723,0.018626,0.019647,0.019647,8484373
2020-09-23,0.019644,0.019886,0.017684,0.017732,0.017732,10001407
2020-09-24,0.017733,0.019044,0.017368,0.018991,0.018991,10756053
2020-09-25,0.019002,0.019426,0.018381,0.019171,0.019171,8953940
2020-09-26,0.019143,0.019393,0.018696,0.018920,0.018920,7310293
2020-09-27,0.018920,0.019222,0.018138,0.018748,0.018748,8774077
2020-09-28,0.018748,0.020331,0.018734,0.018936,0.018936,16712607
2020-09-29,0.018924,0.020011,0.018614,0.019675,0.019675,11090835
2020-09-30,0.019684,0.020319,0.019130,0.020148,0.020148,9801877
2020-10-01,0.020148,0.020470,0.018321,0.018970,0.018970,14662270
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,0.018599,0.019001,0.018478,0.018838,0.018838,5704513
