Date,Open,High,Low,Close,Adj Close,Volume
2023-03-21,4.200000,4.370000,2.960000,4.000000,4.000000,703200
2023-03-22,3.880000,3.880000,3.000000,3.050000,3.050000,180800
2023-03-23,3.190000,3.199000,2.400000,2.420000,2.420000,59600
2023-03-24,2.250000,3.000000,2.250000,2.480000,2.480000,231800
2023-03-27,2.640000,2.752000,2.110000,2.315000,2.315000,76700
2023-03-28,2.220000,2.448000,2.160000,2.400000,2.400000,78200
2023-03-29,2.379000,2.550000,1.810000,1.880000,1.880000,106500
2023-03-30,1.850000,1.960000,1.330000,1.450000,1.450000,162700
2023-03-31,1.350000,1.450000,1.130000,1.140000,1.140000,152900
2023-04-03,1.130000,1.500000,1.010000,1.130000,1.130000,937300
2023-04-04,1.120000,1.500000,1.120000,1.470000,1.470000,556300
2023-04-05,1.450000,1.550000,1.050000,1.140000,1.140000,1207000
2023-04-06,1.100000,1.113000,0.870000,0.970000,0.970000,440300
2023-04-10,0.910000,0.949000,0.870000,0.873000,0.873000,112800
2023-04-11,0.873000,0.925000,0.860000,0.915000,0.915000,126000
2023-04-12,0.910000,0.930000,0.882000,0.920000,0.920000,36400
2023-04-13,0.895000,0.940000,0.892000,0.940000,0.940000,63800
2023-04-14,0.950000,1.230000,0.901000,1.030000,1.030000,629500
2023-04-17,1.050000,1.076000,0.941000,1.000000,1.000000,202200
2023-04-18,0.975000,0.990000,0.900000,0.900000,0.900000,157000
2023-04-19,0.890000,0.960000,0.890000,0.931000,0.931000,99300
2023-04-20,0.940000,0.950000,0.895000,0.935000,0.935000,55300
2023-04-21,1.760000,3.180000,1.430000,1.480000,1.480000,103906500
2023-04-24,1.410000,2.150000,1.320000,1.950000,1.950000,20881100
2023-04-25,2.130000,2.200000,1.550000,1.800000,1.800000,3448700
2023-04-26,1.600000,1.670000,1.160000,1.210000,1.210000,1724200
2023-04-27,1.410000,1.410000,1.220000,1.290000,1.290000,883200
2023-04-28,1.220000,1.300000,1.050000,1.080000,1.080000,670800
2023-05-01,1.120000,1.120000,0.961000,0.999000,0.999000,251400
2023-05-02,1.050000,1.110000,0.960000,1.030000,1.030000,179100
2023-05-03,1.110000,1.420000,1.080000,1.230000,1.230000,975900
2023-05-04,1.300000,1.300000,1.100000,1.220000,1.220000,259300
2023-05-05,1.180000,1.250000,1.160000,1.250000,1.250000,200600
2023-05-08,1.270000,1.280000,1.150000,1.200000,1.200000,100700
2023-05-09,1.190000,1.220000,1.100000,1.150000,1.150000,153700
2023-05-10,1.150000,1.220000,1.130000,1.170000,1.170000,104800
2023-05-11,1.140000,1.280000,1.100000,1.190000,1.190000,267000
2023-05-12,1.190000,1.250000,1.150000,1.190000,1.190000,122600
2023-05-15,1.180000,1.235000,1.170000,1.230000,1.230000,88200
2023-05-16,1.240000,1.240000,1.140000,1.150000,1.150000,162400
2023-05-17,1.150000,1.240000,1.130000,1.190000,1.190000,72000
2023-05-18,1.140000,1.279000,1.140000,1.190000,1.190000,466900
2023-05-19,1.230000,1.250000,1.160000,1.210000,1.210000,161400
2023-05-22,1.230000,1.240000,1.170000,1.220000,1.220000,123300
