Date,Open,High,Low,Close,Adj Close,Volume
2000-06-05,97.500000,100.500000,96.312500,98.687500,85.910301,148400
2000-06-06,98.500000,100.250000,94.625000,94.625000,82.373779,222800
2000-06-07,95.750000,97.000000,93.187500,96.187500,83.733978,215500
2000-06-08,98.812500,98.875000,95.812500,96.625000,84.114845,195200
2000-06-09,98.250000,99.000000,97.062500,98.625000,85.855896,97500
2000-06-12,99.250000,99.250000,94.625000,94.812500,82.537003,56200
2000-06-13,95.000000,98.812500,93.312500,98.812500,86.019119,194500
2000-06-14,98.812500,98.875000,94.562500,94.562500,82.319374,97500
2000-06-15,94.750000,96.687500,93.250000,95.375000,83.026680,108900
2000-06-16,95.500000,96.937500,94.562500,96.000000,83.570747,86900
2000-06-19,96.375000,102.500000,95.625000,102.500000,89.229195,218200
2000-06-20,103.500000,105.750000,103.000000,104.000000,90.534981,248500
2000-06-21,102.625000,105.187500,102.500000,104.437500,90.915848,185800
2000-06-22,103.500000,103.500000,99.000000,99.250000,86.399963,391400
2000-06-23,99.375000,100.187500,97.250000,97.500000,84.876541,342900
2000-06-26,98.375000,99.375000,96.375000,97.500000,84.876541,154000
2000-06-27,98.250000,98.437500,94.375000,94.375000,82.156151,236100
2000-06-28,94.625000,97.125000,94.625000,94.875000,82.591408,228500
2000-06-29,93.750000,94.375000,91.250000,92.687500,80.687119,281800
2000-06-30,93.000000,94.812500,92.312500,94.000000,81.829697,458000
2000-07-03,93.875000,96.250000,93.750000,96.125000,83.679573,52600
2000-07-05,90.500000,91.562500,88.125000,88.625000,77.150604,1362200
2000-07-06,89.937500,92.750000,88.125000,92.250000,80.306282,1393400
2000-07-07,94.250000,96.750000,93.812500,95.250000,82.917854,179900
2000-07-10,95.500000,96.687500,94.500000,95.125000,82.809044,93600
2000-07-11,95.000000,97.125000,92.562500,93.625000,81.503235,223200
2000-07-12,95.875000,97.187500,94.437500,95.937500,83.516335,114600
2000-07-13,98.000000,99.937500,97.437500,98.375000,85.638268,144100
2000-07-14,100.250000,101.375000,98.750000,101.375000,88.249840,136400
2000-07-17,101.375000,103.125000,100.000000,102.937500,89.610046,165500
2000-07-18,101.000000,101.312500,98.000000,98.437500,85.692680,217400
2000-07-19,98.312500,98.312500,93.750000,94.937500,82.645821,372500
2000-07-20,95.437500,97.312500,92.687500,93.437500,81.340019,272200
