Date,Open,High,Low,Close,Adj Close,Volume
2017-09-05,30048.000000,31500.000000,29700.000000,30696.000000,30006.541016,476
2017-09-06,30360.000000,31044.000000,30144.000000,30552.000000,29865.773438,288
2017-09-07,30480.000000,30840.000000,30072.000000,30432.000000,29748.470703,117
2017-09-08,30504.000000,31824.000000,30444.000000,31524.000000,30815.943359,281
2017-09-11,30636.000000,30720.000000,29484.000000,29676.000000,29009.451172,245
2017-09-12,29448.000000,29820.000000,29028.000000,29292.000000,28634.074219,285
2017-09-13,29484.000000,29784.000000,28908.000000,29148.000000,28493.308594,249
2017-09-14,29568.000000,29580.000000,28260.000000,28752.000000,28106.205078,313
2017-09-15,28620.000000,28644.000000,27192.000000,27300.000000,26686.814453,383
2017-09-18,26796.000000,26796.000000,25704.000000,26220.000000,25631.072266,691
2017-09-19,26100.000000,26496.000000,25656.000000,25932.000000,25349.542969,380
2017-09-20,25836.000000,28020.000000,25836.000000,26988.000000,26381.824219,914
2017-09-21,27216.000000,28068.000000,27072.000000,27360.000000,26745.468750,573
2017-09-22,27660.000000,27744.000000,26832.000000,27000.000000,26393.554688,261
2017-09-25,27372.000000,28920.000000,27372.000000,28548.000000,27906.783203,446
2017-09-26,27552.000000,28884.000000,27552.000000,28596.000000,27953.707031,319
2017-09-27,27780.000000,27780.000000,26232.000000,26580.000000,25982.990234,342
2017-09-28,26712.000000,26832.000000,25956.000000,25980.000000,25396.462891,373
2017-09-29,25716.000000,26088.000000,25224.000000,25344.000000,24774.750000,412
2017-10-02,25056.000000,25416.000000,24504.000000,24888.000000,24328.992188,304
2017-10-03,24804.000000,24960.000000,24420.000000,24648.000000,24094.382813,258
2017-10-04,24840.000000,25128.000000,24456.000000,24492.000000,23941.884766,379
2017-10-05,24120.000000,24804.000000,24084.000000,24408.000000,23859.775391,280
2017-10-06,24720.000000,24780.000000,24084.000000,24120.000000,23578.242188,290
2017-10-09,23988.000000,23988.000000,23484.000000,23568.000000,23038.638672,271
2017-10-10,23004.000000,23880.000000,22908.000000,23160.000000,22639.806641,382
2017-10-11,23400.000000,23400.000000,22668.000000,22704.000000,22194.050781,378
2017-10-12,22800.000000,22968.000000,22452.000000,22932.000000,22416.927734,351
2017-10-13,22656.000000,22788.000000,22236.000000,22488.000000,21982.898438,483
2017-10-16,22236.000000,22608.000000,22128.000000,22152.000000,21654.447266,419
2017-10-17,22164.000000,22524.000000,22152.000000,22200.000000,21701.367188,336
2017-10-18,21996.000000,22848.000000,21864.000000,21972.000000,21478.488281,756
2017-10-19,22596.000000,23160.000000,22140.000000,22152.000000,21654.447266,813
2017-10-20,21708.000000,21924.000000,21480.000000,21828.000000,21337.722656,494
2017-10-23,21636.000000,21792.000000,21132.000000,21492.000000,21009.271484,630
2017-10-24,21300.000000,21588.000000,20964.000000,21060.000000,20586.972656,339
2017-10-25,21492.000000,22500.000000,21240.000000,21888.000000,21396.375000,1105
2017-10-26,21744.000000,21852.000000,21336.000000,21492.000000,21009.271484,639
2017-10-27,20988.000000,21348.000000,20040.000000,20124.000000,19671.996094,599
2017-10-30,20988.000000,20988.000000,19980.000000,19980.000000,19531.230469,485
2017-10-31,19740.000000,20004.000000,19308.000000,19488.000000,19050.283203,404
2017-11-01,19068.000000,20220.000000,18996.000000,19692.000000,19249.699219,551
2017-11-02,19668.000000,20100.000000,19260.000000,19428.000000,18991.628906,418
2017-11-03,19152.000000,19632.000000,18384.000000,18408.000000,17994.539063,913
2017-11-06,17952.000000,18264.000000,17580.000000,17628.000000,17232.060547,947
2017-11-07,17700.000000,18012.000000,17544.000000,17676.000000,17278.978516,594
2017-11-08,17832.000000,17928.000000,17448.000000,17484.000000,17091.291016,380
2017-11-09,18024.000000,19176.000000,18012.000000,18528.000000,18111.843750,1292
2017-11-10,18372.000000,18516.000000,18132.000000,18216.000000,17806.853516,399
2017-11-13,18468.000000,18480.000000,17976.000000,18048.000000,17642.628906,343
2017-11-14,18156.000000,18504.000000,17904.000000,18108.000000,17701.277344,514
2017-11-15,18444.000000,19008.000000,18324.000000,18576.000000,18158.765625,511
2017-11-16,18336.000000,18384.000000,17484.000000,17724.000000,17325.904297,558
2017-11-17,17484.000000,18048.000000,17400.000000,17964.000000,17560.511719,469
2017-11-20,17856.000000,17856.000000,17220.000000,17328.000000,16938.794922,352
2017-11-21,16968.000000,17100.000000,16656.000000,16716.000000,16340.542969,598
2017-11-22,16548.000000,17112.000000,16548.000000,17028.000000,16645.535156,540
2017-11-24,16896.000000,16896.000000,16548.000000,16596.000000,16223.238281,350
2017-11-27,16848.000000,17280.000000,16848.000000,17184.000000,16798.031250,652
2017-11-28,17028.000000,17508.000000,16920.000000,17220.000000,16833.222656,503
2017-11-29,17256.000000,19968.000000,17256.000000,19464.000000,19026.820313,2243
2017-11-30,18960.000000,19512.000000,18516.000000,19116.000000,18686.634766,693
2017-12-01,19692.000000,21240.000000,19440.000000,19764.000000,19320.080078,1546
2017-12-04,19008.000000,21552.000000,18996.000000,21204.000000,20727.736328,1521
2017-12-05,21360.000000,21924.000000,19992.000000,21192.000000,20716.007813,1298
2017-12-06,21804.000000,22104.000000,20844.000000,20952.000000,20481.398438,817
2017-12-07,20496.000000,20760.000000,20136.000000,20340.000000,19883.144531,798
2017-12-08,19752.000000,20712.000000,19584.000000,20664.000000,20199.867188,511
2017-12-11,20628.000000,20760.000000,20112.000000,20304.000000,19847.955078,258
2017-12-12,20412.000000,20976.000000,20412.000000,20892.000000,20422.748047,334
2017-12-13,20676.000000,20940.000000,20316.000000,20928.000000,20457.939453,163
2017-12-14,20820.000000,21120.000000,20544.000000,20952.000000,20481.398438,253
2017-12-15,20724.000000,21000.000000,19812.000000,20004.000000,19554.693359,658
2017-12-18,19344.000000,19560.000000,18648.000000,18672.000000,18252.607422,658
2017-12-19,18684.000000,19032.000000,18528.000000,18732.000000,18311.263672,320
2017-12-20,18168.000000,18840.000000,18060.000000,18372.000000,17959.347656,426
2017-12-21,18264.000000,19020.000000,18264.000000,18948.000000,18522.410156,236
2017-12-22,19116.000000,19404.000000,18936.000000,19008.000000,18581.062500,360
2017-12-26,19632.000000,20040.000000,19488.000000,19536.000000,19097.201172,410
2017-12-27,19620.000000,19680.000000,19056.000000,19332.000000,18897.787109,220
2017-12-28,19092.000000,19308.000000,19044.000000,19224.000000,18792.210938,125
2017-12-29,19188.000000,19800.000000,19128.000000,19800.000000,19355.275391,362
2018-01-02,19488.000000,19548.000000,18156.000000,18180.000000,17771.660156,472
2018-01-03,17928.000000,18000.000000,17220.000000,17256.000000,16868.412109,473
2018-01-04,16980.000000,17364.000000,16776.000000,16956.000000,16575.152344,549
2018-01-05,16776.000000,17016.000000,16464.000000,16656.000000,16281.886719,427
2018-01-08,16728.000000,16776.000000,16104.000000,16272.000000,15906.514648,330
2018-01-09,16140.000000,16800.000000,16140.000000,16740.000000,16364.002930,653
2018-01-10,17400.000000,17736.000000,17112.000000,17340.000000,16950.525391,1117
2018-01-11,17124.000000,17388.000000,17016.000000,17028.000000,16645.535156,349
2018-01-12,17040.000000,17136.000000,16656.000000,16764.000000,16387.464844,359
2018-01-16,16368.000000,16872.000000,15996.000000,16584.000000,16211.507813,1128
2018-01-17,16368.000000,16368.000000,15096.000000,15156.000000,14815.581055,1275
2018-01-18,15276.000000,15276.000000,14724.000000,14952.000000,14616.165039,1061
2018-01-19,14772.000000,15180.000000,14688.000000,14904.000000,14569.243164,624
2018-01-22,14784.000000,15060.000000,14580.000000,14580.000000,14252.520508,422
2018-01-23,14400.000000,14532.000000,14220.000000,14256.000000,13935.796875,454
2018-01-24,14688.000000,15504.000000,14508.000000,15204.000000,14862.502930,1235
2018-01-25,14676.000000,16008.000000,14568.000000,16008.000000,15648.445313,1399
2018-01-26,15372.000000,15384.000000,14460.000000,14484.000000,14158.674805,1067
2018-01-29,14652.000000,15048.000000,14232.000000,14532.000000,14205.598633,862
2018-01-30,15252.000000,15456.000000,14880.000000,15384.000000,15038.460938,1615
2018-01-31,14856.000000,15276.000000,14688.000000,15024.000000,14686.544922,740
2018-02-01,15336.000000,15408.000000,14592.000000,15252.000000,14909.424805,1056
2018-02-02,15492.000000,16500.000000,15492.000000,16488.000000,16117.662109,1446
2018-02-05,17064.000000,18912.000000,16092.000000,18792.000000,18369.912109,2252
2018-02-06,19728.000000,19800.000000,16680.000000,16728.000000,16352.274414,1754
2018-02-07,16992.000000,17844.000000,16632.000000,17844.000000,17443.208984,1368
2018-02-08,17484.000000,20124.000000,17424.000000,20100.000000,19648.537109,2647
2018-02-09,18660.000000,20880.000000,17916.000000,18336.000000,17924.156250,2604
2018-02-12,17784.000000,18120.000000,16920.000000,17280.000000,16891.873047,863
2018-02-13,17700.000000,17772.000000,17232.000000,17304.000000,16915.339844,590
2018-02-14,17700.000000,17700.000000,16032.000000,16152.000000,15789.210938,732
2018-02-15,15804.000000,16704.000000,15552.000000,15552.000000,15202.687500,1118
2018-02-16,15888.000000,15888.000000,15156.000000,15744.000000,15390.373047,1326
2018-02-20,15816.000000,15960.000000,14460.000000,14892.000000,14557.511719,1951
2018-02-21,14640.000000,15432.000000,14592.000000,15420.000000,15073.652344,830
2018-02-22,15192.000000,15648.000000,15024.000000,15540.000000,15190.958008,1558
2018-02-23,15144.000000,15168.000000,14520.000000,14532.000000,14205.598633,903
2018-02-26,14232.000000,14292.000000,13572.000000,13584.000000,13278.889648,954
2018-02-27,13584.000000,13728.000000,13032.000000,13728.000000,13419.657227,1535
2018-02-28,13452.000000,14112.000000,13224.000000,14076.000000,13759.839844,1594
2018-03-01,14088.000000,15240.000000,13908.000000,14772.000000,14440.207031,1869
2018-03-02,15312.000000,15360.000000,13932.000000,14004.000000,13689.457031,1317
2018-03-05,14232.000000,14424.000000,13416.000000,13620.000000,13314.083008,889
2018-03-06,13356.000000,13464.000000,12900.000000,13008.000000,12715.828125,1824
2018-03-07,13368.000000,13392.000000,12840.000000,12900.000000,12610.253906,1377
2018-03-08,12768.000000,13080.000000,12624.000000,12864.000000,12575.062500,830
2018-03-09,12624.000000,12624.000000,12036.000000,12036.000000,11765.659180,1696
2018-03-12,11808.000000,11904.000000,11484.000000,11688.000000,11425.477539,1475
2018-03-13,11484.000000,12372.000000,11220.000000,12216.000000,11941.617188,2302
2018-03-14,12060.000000,12564.000000,12036.000000,12216.000000,11941.617188,2021
2018-03-15,12108.000000,12444.000000,12012.000000,12252.000000,11976.808594,928
2018-03-16,12204.000000,12324.000000,12048.000000,12276.000000,12000.268555,421
2018-03-19,12600.000000,13488.000000,12456.000000,12984.000000,12692.367188,2766
2018-03-20,12936.000000,12936.000000,12540.000000,12648.000000,12378.787109,1093
2018-03-21,12792.000000,12792.000000,12096.000000,12564.000000,12296.575195,858
2018-03-22,13164.000000,13620.000000,12792.000000,13596.000000,13306.607422,2091
2018-03-23,13656.000000,14964.000000,13596.000000,14952.000000,14633.746094,2904
2018-03-26,13956.000000,14484.000000,13068.000000,13092.000000,12813.335938,1896
2018-03-27,12732.000000,14856.000000,12672.000000,14568.000000,14257.919922,2388
2018-03-28,14796.000000,15660.000000,14412.000000,15480.000000,15150.507813,2695
2018-03-29,15120.000000,15492.000000,14016.000000,14472.000000,14163.962891,1631
2018-04-02,14880.000000,16524.000000,14520.000000,16128.000000,15784.714844,2723
2018-04-03,15552.000000,16056.000000,15072.000000,15204.000000,14880.381836,1756
2018-04-04,16464.000000,16536.000000,14484.000000,14604.000000,14293.152344,2327
2018-04-05,14292.000000,15360.000000,14256.000000,15036.000000,14715.957031,2085
2018-04-06,15648.000000,16644.000000,15192.000000,16440.000000,16090.074219,2109
2018-04-09,15876.000000,16164.000000,14700.000000,16128.000000,15784.714844,1978
2018-04-10,15060.000000,15336.000000,14316.000000,14580.000000,14269.665039,2380
2018-04-11,14724.000000,14940.000000,14172.000000,14568.000000,14257.919922,1476
2018-04-12,14184.000000,14280.000000,13620.000000,13728.000000,13435.798828,1508
2018-04-13,13272.000000,14220.000000,13200.000000,14064.000000,13764.646484,1865
2018-04-16,13800.000000,14328.000000,13752.000000,13980.000000,13682.433594,970
2018-04-17,13692.000000,13752.000000,13080.000000,13176.000000,12895.547852,1214
2018-04-18,13416.000000,13956.000000,13368.000000,13596.000000,13306.607422,1394
2018-04-19,14364.000000,15504.000000,14340.000000,15348.000000,15021.317383,3314
2018-04-20,15372.000000,16104.000000,15132.000000,15900.000000,15561.567383,2375
2018-04-23,15684.000000,16644.000000,15600.000000,16548.000000,16195.776367,1847
2018-04-24,16140.000000,17376.000000,15636.000000,16944.000000,16583.347656,2914
2018-04-25,16680.000000,17808.000000,16620.000000,17016.000000,16653.810547,2882
2018-04-26,16224.000000,16512.000000,15912.000000,15948.000000,15608.545898,1773
2018-04-27,15348.000000,16536.000000,15336.000000,16296.000000,15949.137695,2102
2018-04-30,16428.000000,17052.000000,16008.000000,16848.000000,16489.388672,2151
2018-05-01,16896.000000,17016.000000,15936.000000,15996.000000,15655.524414,2912
2018-05-02,16008.000000,16416.000000,15804.000000,16200.000000,15855.181641,976
2018-05-03,16572.000000,16980.000000,15720.000000,15924.000000,15585.056641,2817
2018-05-04,16224.000000,16440.000000,14736.000000,14772.000000,14457.577148,2041
2018-05-07,14520.000000,14616.000000,14172.000000,14376.000000,14070.006836,1640
2018-05-08,14484.000000,14592.000000,14064.000000,14064.000000,13764.646484,1762
2018-05-09,13956.000000,14076.000000,13464.000000,13476.000000,13189.162109,1697
2018-05-10,13236.000000,13272.000000,12744.000000,12744.000000,12472.744141,1681
2018-05-11,13008.000000,13116.000000,12672.000000,13032.000000,12754.613281,1864
2018-05-14,12516.000000,12636.000000,12072.000000,12540.000000,12273.084961,2087
2018-05-15,12828.000000,13224.000000,12696.000000,12984.000000,12707.635742,2720
2018-05-16,12948.000000,12960.000000,12372.000000,12432.000000,12167.384766,1770
