Date,Open,High,Low,Close,Adj Close,Volume
2020-07-31,1.680000,1.890000,1.670000,1.670000,1.670000,250300
2020-08-03,1.680000,1.830000,1.540000,1.570000,1.570000,256700
2020-08-04,1.630000,1.790000,1.630000,1.720000,1.720000,102200
2020-08-05,1.660000,1.730000,1.660000,1.690000,1.690000,67900
2020-08-06,1.700000,1.720000,1.660000,1.680000,1.680000,142300
2020-08-07,1.660000,1.680000,1.510000,1.620000,1.620000,194100
2020-08-10,1.610000,1.620000,1.570000,1.610000,1.610000,35700
2020-08-11,1.570000,1.790000,1.570000,1.600000,1.600000,253500
2020-08-12,1.600000,1.710000,1.590000,1.680000,1.680000,195600
2020-08-13,1.680000,1.700000,1.600000,1.640000,1.640000,48600
2020-08-14,1.660000,1.700000,1.620000,1.650000,1.650000,89100
2020-08-17,1.680000,1.700000,1.630000,1.690000,1.690000,59800
2020-08-18,1.670000,1.710000,1.630000,1.660000,1.660000,124800
2020-08-19,1.660000,1.740000,1.660000,1.730000,1.730000,154600
2020-08-20,1.720000,1.740000,1.660000,1.720000,1.720000,148800
2020-08-21,1.750000,1.850000,1.730000,1.830000,1.830000,243100
2020-08-24,1.870000,2.040000,1.850000,2.020000,2.020000,446900
2020-08-25,2.070000,2.400000,2.020000,2.180000,2.180000,789500
2020-08-26,2.200000,2.230000,2.060000,2.190000,2.190000,216200
2020-08-27,2.180000,2.180000,1.980000,2.100000,2.100000,110100
2020-08-28,2.100000,2.120000,1.980000,1.980000,1.980000,116000
2020-08-31,2.040000,2.050000,1.870000,1.960000,1.960000,102300
2020-09-01,1.980000,2.000000,1.800000,1.870000,1.870000,172400
2020-09-02,1.840000,1.970000,1.840000,1.940000,1.940000,213700
2020-09-03,1.950000,2.000000,1.810000,1.820000,1.820000,114900
2020-09-04,1.820000,1.930000,1.820000,1.890000,1.890000,101100
2020-09-08,1.900000,2.390000,1.900000,2.170000,2.170000,832400
2020-09-09,2.180000,2.340000,1.940000,1.990000,1.990000,543100
2020-09-10,2.010000,2.130000,1.920000,1.990000,1.990000,204500
2020-09-11,1.990000,2.070000,1.910000,1.970000,1.970000,55600
2020-09-14,2.000000,2.090000,1.970000,2.030000,2.030000,132500
2020-09-15,2.080000,2.090000,1.990000,2.000000,2.000000,101400
2020-09-16,2.040000,2.090000,2.010000,2.040000,2.040000,91900
2020-09-17,2.040000,2.060000,1.910000,1.950000,1.950000,171000
2020-09-18,1.930000,2.010000,1.810000,1.850000,1.850000,302900
2020-09-21,1.830000,2.000000,1.780000,1.840000,1.840000,143200
2020-09-22,1.850000,1.900000,1.800000,1.830000,1.830000,50200
2020-09-23,1.810000,1.810000,1.720000,1.720000,1.720000,188300
2020-09-24,1.700000,1.760000,1.620000,1.710000,1.710000,107400
2020-09-25,1.710000,1.780000,1.650000,1.760000,1.760000,87100
2020-09-28,1.820000,1.830000,1.770000,1.770000,1.770000,47100
2020-09-29,1.770000,1.820000,1.750000,1.780000,1.780000,49200
2020-09-30,1.780000,1.820000,1.760000,1.800000,1.800000,24300
2020-10-01,1.780000,1.850000,1.710000,1.830000,1.830000,177600
2020-10-02,1.810000,1.840000,1.740000,1.830000,1.830000,34100
2020-10-05,1.830000,1.850000,1.750000,1.830000,1.830000,87400
2020-10-06,1.830000,1.840000,1.770000,1.820000,1.820000,107200
2020-10-07,1.800000,1.820000,1.670000,1.740000,1.740000,176900
2020-10-08,1.760000,1.840000,1.760000,1.790000,1.790000,59200
2020-10-09,1.800000,1.810000,1.700000,1.740000,1.740000,142500
2020-10-12,1.730000,1.800000,1.720000,1.720000,1.720000,61900
2020-10-13,1.780000,1.920000,1.720000,1.890000,1.890000,129400
2020-10-14,1.890000,2.030000,1.840000,2.020000,2.020000,145800
2020-10-15,1.910000,2.240000,1.910000,2.190000,2.190000,431200
2020-10-16,2.260000,2.450000,2.210000,2.350000,2.350000,649000
2020-10-19,2.450000,2.450000,2.170000,2.210000,2.210000,393200
2020-10-20,2.210000,2.220000,2.020000,2.040000,2.040000,252700
2020-10-21,2.050000,2.210000,2.050000,2.100000,2.100000,151900
2020-10-22,2.130000,2.170000,2.070000,2.160000,2.160000,117900
2020-10-23,2.170000,2.210000,2.100000,2.190000,2.190000,76400
2020-10-26,2.230000,2.230000,2.050000,2.180000,2.180000,69400
2020-10-27,2.060000,2.180000,2.060000,2.170000,2.170000,41500
