Date,Open,High,Low,Close,Adj Close,Volume
2020-07-31,0.257682,0.271263,0.250375,0.268849,0.268849,25159665
2020-08-01,0.268849,0.320048,0.265854,0.314264,0.314264,73967678
2020-08-02,0.314939,0.318486,0.269831,0.279707,0.279707,39779369
2020-08-03,0.279643,0.296623,0.278073,0.287950,0.287950,20857210
2020-08-04,0.287947,0.337537,0.287811,0.330941,0.330941,55984871
2020-08-05,0.331266,0.339502,0.309038,0.314147,0.314147,42300849
2020-08-06,0.314156,0.321956,0.305953,0.317928,0.317928,39950836
2020-08-07,0.317979,0.325221,0.292609,0.307992,0.307992,22657443
2020-08-08,0.308056,0.334099,0.305503,0.328824,0.328824,20377633
2020-08-09,0.329161,0.330621,0.311633,0.321486,0.321486,23788667
2020-08-10,0.321609,0.392531,0.316972,0.371970,0.371970,83661125
2020-08-11,0.371988,0.393766,0.329429,0.354344,0.354344,59198921
2020-08-12,0.354519,0.407513,0.330030,0.407295,0.407295,54724354
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.384450,0.396491,0.371381,0.396125,0.396125,40468795
2020-08-17,0.396125,0.409081,0.382376,0.385884,0.385884,39001120
2020-08-18,0.385751,0.447924,0.383568,0.436809,0.436809,74061454
2020-08-19,0.436809,0.461453,0.396451,0.402758,0.402758,63053846
2020-08-20,0.404275,0.456133,0.403671,0.455152,0.455152,44020535
2020-08-21,0.455140,0.477703,0.417021,0.423797,0.423797,74402809
2020-08-22,0.422888,0.453647,0.405364,0.449884,0.449884,39653752
2020-08-23,0.449239,0.487154,0.446877,0.484407,0.484407,51736716
2020-08-24,0.484407,0.585673,0.473113,0.552531,0.552531,148018663
2020-08-25,0.552674,0.553969,0.470659,0.508246,0.508246,127281475
2020-08-26,0.508749,0.546436,0.488193,0.495608,0.495608,126374793
2020-08-27,0.495982,0.499218,0.429477,0.447943,0.447943,108518585
2020-08-28,0.447770,0.487179,0.434001,0.475945,0.475945,77925557
2020-08-29,0.475870,0.521324,0.466863,0.509402,0.509402,68279996
2020-08-30,0.507354,0.544315,0.497445,0.499700,0.499700,70285327
2020-08-31,0.498966,0.513068,0.478022,0.478022,0.478022,56322504
2020-09-01,0.477846,0.511408,0.473243,0.489626,0.489626,69160917
2020-09-02,0.489237,0.509972,0.451499,0.475860,0.475860,69666721
2020-09-03,0.475293,0.482788,0.406584,0.406654,0.406654,72079910
2020-09-04,0.405248,0.424330,0.377988,0.424330,0.424330,67915919
2020-09-05,0.425920,0.457177,0.374551,0.392994,0.392994,68175769
2020-09-06,0.392994,0.429866,0.378147,0.427835,0.427835,55276891
2020-09-07,0.428018,0.433044,0.385014,0.415190,0.415190,45546404
2020-09-08,0.415070,0.434054,0.392310,0.398955,0.398955,32241294
2020-09-09,0.399007,0.489885,0.399007,0.478777,0.478777,53293365
2020-09-10,0.478777,0.506660,0.474333,0.488637,0.488637,37526991
2020-09-11,0.488272,0.499965,0.456583,0.499441,0.499441,21843844
2020-09-12,0.500155,0.546821,0.500155,0.546769,0.546769,37470991
2020-09-13,0.546769,0.547909,0.500218,0.539675,0.539675,28779207
2020-09-14,0.539927,0.565732,0.522665,0.528718,0.528718,39203566
2020-09-15,0.528458,0.561205,0.525808,0.536734,0.536734,29553831
2020-09-16,0.536524,0.538263,0.502761,0.527343,0.527343,32034902
2020-09-17,0.527161,0.558628,0.508968,0.557465,0.557465,41321705
2020-09-18,0.557465,0.600661,0.538200,0.573658,0.573658,63887852
2020-09-19,0.574971,0.610092,0.559802,0.580001,0.580001,49354087
2020-09-20,0.579855,0.590750,0.538960,0.557084,0.557084,30584032
2020-09-21,0.557158,0.595540,0.529525,0.572827,0.572827,64134850
2020-09-22,0.572625,0.579104,0.537298,0.576709,0.576709,28800085
2020-09-23,0.575444,0.592004,0.544446,0.554191,0.554191,42432703
2020-09-24,0.554273,0.652826,0.550184,0.639730,0.639730,65659415
2020-09-25,0.639218,0.687871,0.632134,0.667245,0.667245,84914042
2020-09-26,0.665538,0.729014,0.653926,0.696351,0.696351,74071231
2020-09-27,0.696627,0.751632,0.669218,0.748916,0.748916,79721926
2020-09-28,0.748916,0.756832,0.710627,0.718712,0.718712,65388888
2020-09-29,0.719321,0.780497,0.711348,0.779637,0.779637,65543391
2020-09-30,0.779093,0.799482,0.709830,0.747693,0.747693,103805604
2020-10-01,0.747693,0.760035,0.686855,0.728476,0.728476,73350895
2020-10-02,0.727619,0.737556,0.656549,0.700414,0.700414,51774883
2020-10-03,0.700414,0.778345,0.689268,0.754207,0.754207,47944092
2020-10-04,0.754864,0.795001,0.731341,0.772925,0.772925,54193786
2020-10-05,0.772925,0.776984,0.740556,0.744470,0.744470,37703277
2020-10-06,0.744480,0.747787,0.673750,0.687448,0.687448,52303555
2020-10-07,0.687448,0.750490,0.663327,0.740022,0.740022,51554464
2020-10-08,0.740539,0.742584,0.692207,0.720685,0.720685,38971853
2020-10-09,null,null,null,null,null,null
2020-10-10,0.715744,0.780933,0.714810,0.766337,0.766337,47195485
2020-10-11,0.766415,0.775222,0.724889,0.743753,0.743753,36121484
2020-10-12,null,null,null,null,null,null
2020-10-13,null,null,null,null,null,null
2020-10-14,0.754718,0.760739,0.719989,0.736617,0.736617,47427819
2020-10-15,0.735679,0.735679,0.677168,0.691389,0.691389,46384671
2020-10-16,0.690587,0.704407,0.657122,0.664969,0.664969,29994583
2020-10-17,0.662914,0.662914,0.615695,0.626767,0.626767,27755737
2020-10-18,0.625597,0.671630,0.621241,0.671183,0.671183,36556376
2020-10-19,0.671006,0.671006,0.627128,0.632753,0.632753,26910178
2020-10-20,0.632585,0.639727,0.575902,0.599177,0.599177,48705239
2020-10-21,0.598825,0.659005,0.597231,0.640579,0.640579,44778585
2020-10-22,0.639356,0.672409,0.637350,0.653648,0.653648,24590485
2020-10-23,0.654053,0.665967,0.621720,0.648175,0.648175,33917728
2020-10-24,0.648175,0.727763,0.635311,0.722297,0.722297,63387460
2020-10-25,0.722297,0.730878,0.688059,0.695702,0.695702,35413794
2020-10-26,0.695702,0.715796,0.643431,0.654895,0.654895,31210634
2020-10-27,0.654895,0.669274,0.633000,0.657696,0.657696,28876487
2020-10-28,0.657698,0.660230,0.608377,0.623999,0.623999,20997550
2020-10-29,0.624000,0.631364,0.582985,0.593497,0.593497,18392575
2020-10-30,0.593499,0.631723,0.580356,0.610951,0.610951,33314018
2020-10-31,0.610951,0.616962,0.596876,0.610492,0.610492,18558795
2020-11-01,0.610492,0.618821,0.582365,0.611796,0.611796,15712164
2020-11-02,0.611796,0.636942,0.586905,0.588912,0.588912,25635118
2020-11-03,0.588910,0.602287,0.566323,0.582130,0.582130,16989532
2020-11-04,0.582131,0.596164,0.553314,0.591386,0.591386,14822485
2020-11-05,0.591386,0.632651,0.573866,0.630507,0.630507,13979130
2020-11-06,0.630518,0.686290,0.626959,0.676023,0.676023,16712702
2020-11-07,0.676023,0.715320,0.615562,0.639855,0.639855,28024187
2020-11-08,0.639855,0.674755,0.632053,0.664393,0.664393,12375924
2020-11-09,0.664393,0.673363,0.610643,0.641029,0.641029,21252809
2020-11-10,0.641028,0.657987,0.623313,0.641003,0.641003,19591349
2020-11-11,0.641003,0.653566,0.612423,0.612423,0.612423,18730118
2020-11-12,0.612423,0.626791,0.590405,0.601923,0.601923,16643669
2020-11-13,0.601928,0.634515,0.595535,0.633394,0.633394,22198608
2020-11-14,0.633394,0.637660,0.595949,0.611983,0.611983,9700736
2020-11-15,0.611983,0.622490,0.593750,0.603587,0.603587,8911596
2020-11-16,0.603587,0.629743,0.596472,0.618680,0.618680,10990771
2020-11-17,0.629428,0.654897,0.621839,0.653734,0.653734,17996693
2020-11-18,0.653732,0.677797,0.610337,0.624529,0.624529,15617187
2020-11-19,0.624534,0.639607,0.614230,0.623315,0.623315,10601771
2020-11-20,0.623315,0.654996,0.622759,0.640646,0.640646,30858617
2020-11-21,0.640646,0.708212,0.627556,0.698339,0.698339,34112241
2020-11-22,0.698339,0.707969,0.626514,0.646768,0.646768,20864858
2020-11-23,0.646768,0.686026,0.645568,0.664577,0.664577,24492728
2020-11-24,0.664703,0.743826,0.663579,0.690628,0.690628,34218615
2020-11-25,0.690666,0.750974,0.682304,0.695530,0.695530,34708229
2020-11-26,0.696147,0.713671,0.575716,0.620971,0.620971,32240681
2020-11-27,0.621599,0.636942,0.579512,0.607171,0.607171,11375102
2020-11-28,0.607460,0.632943,0.591562,0.624804,0.624804,8524697
2020-11-29,0.625046,0.625506,0.600036,0.618364,0.618364,9329734
2020-11-30,0.618134,0.643693,0.606081,0.641175,0.641175,15859981
2020-12-01,0.641473,0.662182,0.590147,0.613384,0.613384,21838162
2020-12-02,0.613385,0.647153,0.605736,0.631476,0.631476,14184357
2020-12-03,0.631798,0.666923,0.626896,0.663802,0.663802,12854087
2020-12-04,0.663895,0.713214,0.653022,0.668476,0.668476,35602887
2020-12-05,0.667223,0.738775,0.658057,0.738775,0.738775,30221960
2020-12-06,0.738118,0.742510,0.679810,0.700637,0.700637,26549577
2020-12-07,0.700516,0.700668,0.667422,0.682558,0.682558,18486655
2020-12-08,0.682686,0.768926,0.679319,0.746699,0.746699,74450905
2020-12-09,0.745841,0.793263,0.711887,0.724941,0.724941,84761122
2020-12-10,0.725626,0.726273,0.685108,0.685237,0.685237,27005627
2020-12-11,0.681331,0.690951,0.638128,0.681598,0.681598,23804857
2020-12-12,0.680686,0.716078,0.680255,0.692234,0.692234,14859558
2020-12-13,0.692528,0.740943,0.683198,0.727720,0.727720,20230965
2020-12-14,0.728130,0.766011,0.717345,0.750467,0.750467,38059917
2020-12-15,0.750378,0.773199,0.730398,0.762548,0.762548,24601690
2020-12-16,0.762438,0.853716,0.742709,0.850419,0.850419,60731400
2020-12-17,0.853707,0.905336,0.810101,0.813345,0.813345,68943084
2020-12-18,0.813159,0.921015,0.795731,0.907863,0.907863,55202232
2020-12-19,0.907115,0.944740,0.894991,0.899039,0.899039,47638657
2020-12-20,0.898679,0.948115,0.869525,0.911403,0.911403,36908815
2020-12-21,0.913627,0.965028,0.876501,0.928180,0.928180,54613115
2020-12-22,0.926502,1.108144,0.921165,1.083182,1.083182,167228494
2020-12-23,1.082378,1.181236,1.007656,1.063493,1.063493,146157417
2020-12-24,1.067439,1.215566,0.998396,1.185937,1.185937,78999135
2020-12-25,1.186771,1.341664,1.167437,1.283983,1.283983,113029616
2020-12-26,1.282943,1.735077,1.256969,1.661162,1.661162,226293261
2020-12-27,1.661246,1.705866,1.313094,1.346226,1.346226,237574933
2020-12-28,1.347261,1.589976,1.329400,1.548385,1.548385,138826747
2020-12-29,1.551621,1.608350,1.355806,1.450132,1.450132,185948538
2020-12-30,1.448095,1.633072,1.426468,1.596732,1.596732,93442870
2020-12-31,1.595766,1.890255,1.536196,1.861162,1.861162,167677057
2021-01-01,1.860961,2.294691,1.800818,1.971477,1.971477,376954102
2021-01-02,1.974160,2.508397,1.937386,2.400357,2.400357,324942397
2021-01-03,2.401551,2.414735,2.066471,2.121383,2.121383,216740061
2021-01-04,2.126342,2.261015,1.782489,1.960264,1.960264,218310002
2021-01-05,1.966046,2.351682,1.919586,2.133998,2.133998,229124513
2021-01-06,2.136921,2.312734,2.088244,2.184382,2.184382,175126465
2021-01-07,2.174222,2.178482,1.896290,1.994266,1.994266,146355215
2021-01-08,1.993338,2.038029,1.791615,1.991132,1.991132,123790927
2021-01-09,1.989845,2.199583,1.895106,2.042635,2.042635,138459786
2021-01-10,2.045164,2.105874,1.856082,1.990300,1.990300,120114659
2021-01-11,1.987897,1.988167,1.468472,1.818694,1.818694,157069925
2021-01-12,1.815348,1.999848,1.738802,1.817346,1.817346,115333523
2021-01-13,1.818149,2.146419,1.771853,2.107897,2.107897,126051165
