Date,Open,High,Low,Close,Adj Close,Volume
2019-05-20,19010.000000,19515.000000,18165.000000,18685.000000,18685.000000,33066
2019-05-21,17765.000000,17800.000000,17185.000000,17305.000000,17305.000000,19904
2019-05-22,17375.000000,17445.000000,16760.000000,16995.000000,16995.000000,16838
2019-05-23,17990.000000,19145.000000,17975.000000,18675.000000,18675.000000,38791
2019-05-24,17900.000000,18490.000000,17620.000000,18120.000000,18120.000000,18608
2019-05-28,17895.000000,18915.000000,17485.000000,18910.000000,18910.000000,18684
2019-05-29,19520.000000,19995.000000,18990.000000,19405.000000,19405.000000,27460
2019-05-30,18815.000000,19515.000000,18505.000000,18905.000000,18905.000000,17852
2019-05-31,20310.000000,20485.000000,19535.000000,20070.000000,20070.000000,28089
2019-06-03,19970.000000,21010.000000,19440.000000,20280.000000,20280.000000,28156
2019-06-04,19450.000000,19845.000000,18625.000000,18690.000000,18690.000000,19720
2019-06-05,18415.000000,18940.000000,17970.000000,18065.000000,18065.000000,17832
2019-06-06,17940.000000,18185.000000,17440.000000,17545.000000,17545.000000,15531
2019-06-07,17440.000000,17815.000000,17285.000000,17715.000000,17715.000000,15103
2019-06-10,17375.000000,17875.000000,17295.000000,17490.000000,17490.000000,11829
2019-06-11,17060.000000,17940.000000,17005.000000,17530.000000,17530.000000,14726
2019-06-12,17770.000000,17945.000000,17350.000000,17415.000000,17415.000000,12864
2019-06-13,17150.000000,17560.000000,17015.000000,17280.000000,17280.000000,11480
2019-06-14,17455.000000,17700.000000,16975.000000,17040.000000,17040.000000,11429
2019-06-17,16990.000000,17055.000000,16615.000000,16750.000000,16750.000000,8679
2019-06-18,16370.000000,16685.000000,16105.000000,16555.000000,16555.000000,14707
2019-06-19,16330.000000,16625.000000,15665.000000,15680.000000,15680.000000,20876
2019-06-20,15285.000000,16500.000000,15115.000000,15815.000000,15815.000000,20686
2019-06-21,15990.000000,16440.000000,15675.000000,16325.000000,16325.000000,12991
2019-06-24,16105.000000,16250.000000,15910.000000,16065.000000,16065.000000,9839
2019-06-25,16130.000000,16845.000000,16120.000000,16735.000000,16735.000000,18183
2019-06-26,16250.000000,16720.000000,16115.000000,16495.000000,16495.000000,13102
2019-06-27,16325.000000,16490.000000,15940.000000,16095.000000,16095.000000,12341
2019-06-28,15885.000000,16025.000000,15630.000000,15745.000000,15745.000000,10684
2019-07-01,14460.000000,14915.000000,14350.000000,14455.000000,14455.000000,18268
2019-07-02,14465.000000,14505.000000,13615.000000,13650.000000,13650.000000,17579
2019-07-03,13715.000000,13845.000000,13460.000000,13500.000000,13500.000000,7804
2019-07-05,13965.000000,14545.000000,13515.000000,13575.000000,13575.000000,18526
2019-07-08,14080.000000,14345.000000,13860.000000,14165.000000,14165.000000,16197
2019-07-09,14720.000000,14750.000000,14135.000000,14210.000000,14210.000000,11342
2019-07-10,13885.000000,13935.000000,13505.000000,13555.000000,13555.000000,17516
2019-07-11,13300.000000,13590.000000,13090.000000,13225.000000,13225.000000,20768
2019-07-12,13085.000000,13230.000000,12850.000000,12880.000000,12880.000000,14045
2019-07-15,12800.000000,13015.000000,12720.000000,12835.000000,12835.000000,12770
2019-07-16,12730.000000,13000.000000,12475.000000,12910.000000,12910.000000,20525
2019-07-17,12715.000000,13330.000000,12595.000000,13330.000000,13330.000000,21582
2019-07-18,13375.000000,13665.000000,12820.000000,13180.000000,13180.000000,20231
2019-07-19,12820.000000,13415.000000,12715.000000,13375.000000,13375.000000,22933
2019-07-22,13335.000000,13455.000000,12830.000000,13000.000000,13000.000000,17096
2019-07-23,12640.000000,12935.000000,12265.000000,12295.000000,12295.000000,16981
2019-07-24,12485.000000,12495.000000,11715.000000,11815.000000,11815.000000,18501
2019-07-25,11950.000000,12675.000000,11935.000000,12320.000000,12320.000000,25125
2019-07-26,12040.000000,12050.000000,11745.000000,11890.000000,11890.000000,14710
2019-07-29,11885.000000,12185.000000,11850.000000,12015.000000,12015.000000,16863
2019-07-30,12405.000000,12560.000000,12130.000000,12465.000000,12465.000000,22964
2019-07-31,12445.000000,14145.000000,12115.000000,13495.000000,13495.000000,48421
2019-08-01,13505.000000,15710.000000,12605.000000,15060.000000,15060.000000,84280
2019-08-02,15110.000000,16210.000000,14955.000000,15300.000000,15300.000000,58629
2019-08-05,16975.000000,18815.000000,16750.000000,18505.000000,18505.000000,63482
2019-08-06,17455.000000,18830.000000,16750.000000,16750.000000,16750.000000,50952
2019-08-07,18580.000000,19195.000000,16775.000000,16915.000000,16915.000000,52900
2019-08-08,16395.000000,16720.000000,15290.000000,15400.000000,15400.000000,30162
2019-08-09,15805.000000,16715.000000,15570.000000,16235.000000,16235.000000,34429
2019-08-12,16670.000000,18090.000000,16530.000000,17995.000000,17995.000000,27633
2019-08-13,18365.000000,18460.000000,15975.000000,15995.000000,15995.000000,28594
2019-08-14,17645.000000,19330.000000,17140.000000,19290.000000,19290.000000,45375
2019-08-15,18575.000000,19835.000000,18305.000000,18615.000000,18615.000000,35389
2019-08-16,18070.000000,18070.000000,16975.000000,17070.000000,17070.000000,21364
2019-08-19,15990.000000,16085.000000,15090.000000,15190.000000,15190.000000,23769
2019-08-20,15320.000000,15875.000000,15190.000000,15750.000000,15750.000000,19266
2019-08-21,14745.000000,14940.000000,14500.000000,14550.000000,14550.000000,21875
2019-08-22,14435.000000,15520.000000,14345.000000,14885.000000,14885.000000,26429
2019-08-23,15630.000000,18145.000000,14680.000000,17660.000000,17660.000000,70706
2019-08-26,16445.000000,17750.000000,16415.000000,17000.000000,17000.000000,25967
2019-08-27,16530.000000,18125.000000,16460.000000,17435.000000,17435.000000,30547
2019-08-28,18030.000000,18465.000000,16850.000000,16880.000000,16880.000000,24519
2019-08-29,16115.000000,16350.000000,15565.000000,15835.000000,15835.000000,23296
2019-08-30,15350.000000,16495.000000,15340.000000,15875.000000,15875.000000,25510
2019-09-03,16780.000000,17230.000000,16390.000000,17025.000000,17025.000000,28830
2019-09-04,15995.000000,16450.000000,15415.000000,15440.000000,15440.000000,19992
2019-09-05,14880.000000,14910.000000,14295.000000,14575.000000,14575.000000,24940
2019-09-06,14285.000000,14435.000000,13825.000000,13905.000000,13905.000000,27342
2019-09-09,13545.000000,14265.000000,13500.000000,13715.000000,13715.000000,33328
2019-09-10,14035.000000,14305.000000,13610.000000,13650.000000,13650.000000,32815
2019-09-11,13650.000000,13705.000000,13205.000000,13305.000000,13305.000000,26926
2019-09-12,12955.000000,13225.000000,12640.000000,12825.000000,12825.000000,25250
2019-09-13,12650.000000,12755.000000,12355.000000,12555.000000,12555.000000,32381
2019-09-16,12910.000000,13035.000000,12500.000000,12825.000000,12825.000000,19966
2019-09-17,12915.000000,13085.000000,12725.000000,12730.000000,12730.000000,15001
2019-09-18,12560.000000,13050.000000,12080.000000,12105.000000,12105.000000,41403
2019-09-19,11915.000000,11925.000000,11510.000000,11805.000000,11805.000000,28423
2019-09-20,11620.000000,12840.000000,11540.000000,12670.000000,12670.000000,34854
2019-09-23,12715.000000,12810.000000,12215.000000,12520.000000,12520.000000,21922
2019-09-24,12045.000000,13540.000000,12005.000000,13390.000000,13390.000000,54798
2019-09-25,13435.000000,14070.000000,12755.000000,12915.000000,12915.000000,33898
2019-09-26,12915.000000,13465.000000,12875.000000,13080.000000,13080.000000,28976
2019-09-27,12835.000000,14165.000000,12750.000000,13605.000000,13605.000000,50616
2019-09-30,13425.000000,13430.000000,12810.000000,13020.000000,13020.000000,20160
2019-10-01,12565.000000,13880.000000,12455.000000,13810.000000,13810.000000,51215
2019-10-02,14445.000000,15535.000000,14445.000000,15290.000000,15290.000000,68465
2019-10-03,15190.000000,15835.000000,14390.000000,14405.000000,14405.000000,47445
2019-10-04,14235.000000,14250.000000,13200.000000,13225.000000,13225.000000,31781
2019-10-07,13550.000000,13720.000000,12970.000000,13425.000000,13425.000000,29420
2019-10-08,14170.000000,15045.000000,13935.000000,15035.000000,15035.000000,53882
2019-10-09,14345.000000,14670.000000,13760.000000,14210.000000,14210.000000,37215
