Date,Open,High,Low,Close,Adj Close,Volume
2017-09-05,77.949997,79.889999,77.900002,79.800003,72.718201,12068500
2017-09-06,79.879997,80.400002,79.720001,80.080002,72.973366,8426100
2017-09-07,80.320000,80.760002,80.000000,80.120003,73.009796,6820800
2017-09-08,79.739998,79.879997,77.730003,78.879997,71.879852,9999600
2017-09-11,79.150002,79.349998,78.660004,79.080002,72.062096,7000200
2017-09-12,79.300003,79.910004,79.169998,79.610001,72.545052,6005000
2017-09-13,79.610001,80.680000,79.589996,79.860001,72.772888,8823700
2017-09-14,79.790001,79.820000,79.220001,79.680000,72.608871,6939300
2017-09-15,79.809998,80.750000,79.269997,80.379997,73.246727,13317800
2017-09-18,80.209999,81.120003,79.949997,80.000000,72.900452,8176100
2017-09-19,80.180000,80.459999,79.699997,80.050003,72.946030,6174400
2017-09-20,80.169998,80.559998,79.870003,80.500000,73.356094,5318200
2017-09-21,80.570000,80.570000,79.720001,80.010002,72.909561,6430300
2017-09-22,79.889999,80.080002,79.250000,79.529999,72.472168,5755300
2017-09-25,78.919998,80.099998,78.860001,79.150002,72.125893,8547800
2017-09-26,79.040001,79.540001,78.919998,79.389999,72.344597,5835300
2017-09-27,79.419998,79.570000,78.669998,79.290001,72.253464,6314600
2017-09-28,79.000000,79.080002,78.120003,78.949997,71.943642,12372800
2017-09-29,78.849998,79.000000,77.980003,78.139999,71.205521,10353400
2017-10-02,77.900002,78.830002,77.500000,78.449997,71.487999,7709200
2017-10-03,78.830002,79.660004,78.750000,79.220001,72.189690,7936700
2017-10-04,79.269997,79.779999,79.070000,79.089996,72.071220,6173400
2017-10-05,79.169998,79.809998,79.080002,79.410004,72.362823,5138700
2017-10-06,78.779999,79.169998,78.250000,79.000000,71.989182,6246700
2017-10-09,79.500000,81.379997,79.400002,80.529999,73.383430,13493000
2017-10-10,82.680000,84.879997,82.610001,84.129997,76.663933,25124000
2017-10-11,84.580002,86.290001,84.099998,85.730003,78.121925,18561000
2017-10-12,85.699997,86.370003,85.059998,86.099998,78.459122,12877000
2017-10-13,86.239998,86.949997,86.239998,86.620003,78.932961,9389000
2017-10-16,86.580002,86.620003,85.019997,85.739998,78.131073,9300300
2017-10-17,85.500000,86.360001,85.320000,85.980003,78.349762,5851500
2017-10-18,86.150002,86.370003,86.010002,86.220001,78.568474,5472100
2017-10-19,86.150002,86.660004,85.769997,86.400002,78.732513,7029000
2017-10-20,86.599998,87.449997,86.279999,87.440002,79.680222,7617800
2017-10-23,87.339996,88.919998,87.260002,88.650002,80.782829,10586000
2017-10-24,88.690002,88.800003,87.910004,87.980003,80.172287,7700900
2017-10-25,87.849998,88.599998,87.430000,88.480003,80.627892,6408000
2017-10-26,88.660004,89.110001,88.019997,88.620003,80.755501,6484900
2017-10-27,88.139999,88.389999,87.150002,88.169998,80.345421,6617000
2017-10-30,87.940002,87.949997,86.389999,86.949997,79.233681,7052000
2017-10-31,86.860001,87.459999,86.599998,87.309998,79.561729,6006900
2017-11-01,87.070000,88.400002,87.000000,87.940002,80.135826,6176100
2017-11-02,88.279999,89.169998,87.800003,88.800003,80.919510,5183100
2017-11-03,89.019997,89.879997,88.760002,89.680000,81.721413,6512100
2017-11-06,89.419998,89.680000,88.680000,88.699997,80.828377,5257400
2017-11-07,88.870003,89.059998,88.309998,88.949997,81.056198,5349300
2017-11-08,89.110001,90.419998,89.099998,90.260002,82.249947,6767500
2017-11-09,89.940002,90.570000,89.349998,90.300003,82.286400,6904500
2017-11-10,90.239998,91.690002,90.199997,90.919998,82.851357,7647800
2017-11-13,91.040001,91.980003,90.870003,90.989998,82.915138,8491600
2017-11-14,90.699997,91.199997,90.180000,91.089996,83.006287,9834100
2017-11-15,90.339996,90.849998,89.650002,89.830002,81.858101,8433400
2017-11-16,95.120003,99.680000,94.720001,99.620003,90.779289,38122400
2017-11-17,99.239998,100.129997,96.580002,97.470001,88.820107,23575500
2017-11-20,96.440002,97.639999,95.760002,97.480003,88.829201,16394300
2017-11-21,97.739998,97.919998,96.320000,96.519997,87.954399,12746500
2017-11-22,96.650002,96.809998,96.110001,96.410004,87.854156,8918200
2017-11-24,96.870003,97.230003,96.529999,96.620003,88.045517,4496100
2017-11-27,96.849998,97.650002,96.300003,96.620003,88.045517,8904900
2017-11-28,96.589996,96.889999,95.820000,96.769997,88.182198,8709600
2017-11-29,97.220001,98.260002,96.879997,97.559998,88.902122,11424000
2017-11-30,98.089996,98.440002,96.510002,97.230003,88.601402,12854700
2017-12-01,97.610001,97.709999,96.230003,97.349998,88.710739,8296200
2017-12-04,97.730003,97.959999,96.680000,97.010002,88.400917,8956500
2017-12-05,97.000000,97.940002,96.919998,97.830002,89.148148,9010100
2017-12-06,97.989998,98.139999,97.239998,97.279999,88.646950,7141000
2017-12-07,97.059998,97.580002,96.650002,96.779999,88.656113,7502600
2017-12-08,96.300003,96.699997,96.139999,96.550003,88.445435,5821100
2017-12-11,96.959999,97.269997,96.290001,96.930000,88.793518,8928900
2017-12-12,96.849998,97.239998,96.599998,96.699997,88.582809,7810600
2017-12-13,96.660004,97.910004,96.550003,97.760002,89.553864,7879400
2017-12-14,98.000000,98.570000,97.099998,97.129997,88.976715,9385800
2017-12-15,97.709999,98.489998,96.910004,97.110001,88.958412,16142800
2017-12-18,97.379997,98.169998,97.360001,97.900002,89.682106,7964400
2017-12-19,99.910004,99.910004,98.290001,98.800003,90.506554,12012200
2017-12-20,99.449997,99.650002,98.449997,98.750000,90.460739,10729800
2017-12-21,99.000000,99.330002,97.980003,98.059998,89.828659,7369100
2017-12-22,98.290001,98.419998,97.680000,98.209999,89.966087,5478700
2017-12-26,98.349998,99.440002,98.349998,99.160004,90.836342,4295900
2017-12-27,99.559998,99.599998,98.830002,99.260002,90.927933,5140800
2017-12-28,99.519997,99.620003,99.120003,99.400002,91.056175,9763900
2017-12-29,99.400002,99.690002,98.750000,98.750000,90.460739,7144300
2018-01-02,99.300003,99.790001,98.519997,98.589996,90.314163,10150500
2018-01-03,98.849998,100.000000,98.769997,99.449997,91.101982,8903600
2018-01-04,99.540001,99.779999,98.910004,99.540001,91.184425,6830400
2018-01-05,99.639999,100.379997,99.610001,100.129997,91.724907,7284000
2018-01-08,100.250000,101.750000,100.209999,101.610001,93.080681,8843900
2018-01-09,102.029999,102.349998,100.309998,100.389999,91.963066,7312700
2018-01-10,99.750000,99.889999,98.529999,99.669998,91.303528,7930400
2018-01-11,99.699997,100.449997,98.779999,100.019997,91.624138,6537700
2018-01-12,100.389999,101.440002,100.300003,100.870003,92.402802,6951200
2018-01-16,101.339996,101.910004,100.339996,100.690002,92.237885,7170700
2018-01-17,101.150002,102.940002,100.699997,102.699997,94.079178,8681900
2018-01-18,104.739998,104.940002,103.620003,104.300003,95.544861,12307900
2018-01-19,104.639999,104.930000,103.660004,104.589996,95.810524,8378600
