Date,Open,High,Low,Close,Adj Close,Volume
2020-07-31,2.811197,2.897167,2.788285,2.839854,2.839854,109436571
2020-08-01,2.839854,3.054209,2.825261,3.028816,3.028816,172314235
2020-08-02,3.027366,3.117216,2.792662,2.877537,2.877537,249982954
2020-08-03,2.876969,3.060879,2.839471,3.056552,3.056552,190598020
2020-08-04,3.056475,3.289462,3.055606,3.229411,3.229411,284036870
2020-08-05,3.232543,3.248886,3.090986,3.115872,3.115872,161304037
2020-08-06,3.114597,3.367757,3.091333,3.224884,3.224884,208842704
2020-08-07,3.225787,3.275161,2.977247,3.072101,3.072101,213195512
2020-08-08,3.070796,3.476346,3.032815,3.379727,3.379727,225885661
2020-08-09,3.374193,3.767431,3.290236,3.684245,3.684245,342620805
2020-08-10,3.695444,4.270498,3.568103,4.270498,4.270498,525009907
2020-08-11,4.280120,4.411973,3.808181,4.011280,4.011280,546232328
2020-08-12,4.012852,4.458337,3.670476,4.406670,4.406670,542700999
2020-08-13,4.407319,4.480894,4.028382,4.175018,4.175018,457809394
2020-08-14,4.174241,4.280840,4.012753,4.096944,4.096944,278165303
2020-08-15,4.093446,4.300330,3.933724,4.079502,4.079502,338468043
2020-08-16,4.077575,4.364151,4.027676,4.238754,4.238754,284937976
2020-08-17,4.238754,4.246944,4.023863,4.034006,4.034006,229654914
2020-08-18,4.032037,4.139497,3.748713,3.832739,3.832739,260614843
2020-08-19,3.832739,3.911232,3.517440,3.634832,3.634832,381949536
2020-08-20,3.637057,3.917106,3.507564,3.854541,3.854541,305749013
2020-08-21,3.855696,3.900686,3.354893,3.392107,3.392107,287391404
2020-08-22,3.390968,3.599848,3.287222,3.578665,3.578665,229620599
2020-08-23,3.578138,3.606492,3.379357,3.521922,3.521922,172850688
2020-08-24,3.522043,3.790803,3.459969,3.687051,3.687051,233005843
2020-08-25,3.682312,3.701247,3.321047,3.446117,3.446117,249600095
2020-08-26,3.452973,3.495823,3.311235,3.376096,3.376096,204399531
2020-08-27,3.374710,3.414851,3.113161,3.205595,3.205595,236563338
2020-08-28,3.204725,3.309133,3.139454,3.260652,3.260652,157445156
